scope,family,level,nr,nz,dt_s,metric,value,adjacent_change,observed_order,runtime_s
time,Q2-M3,1,210,36,10.0,final_max_C,1.7279680699343563,,,43.185608100000536
time,Q2-M3,2,210,36,5.0,final_max_C,1.7278641290474162,0.0001039408869401015,,59.06119860000035
time,Q2-M3,3,210,36,2.5,final_max_C,1.7278120917399604,5.203730745573232e-05,0.9981450545178139,81.47623190000013
time,Q2-M3,4,210,36,1.25,final_max_C,1.7277860781121686,2.6013627791865446e-05,1.0002787074775439,112.44411519999267
time,Q2-M3,5,210,36,0.625,final_max_C,1.7277730791192818,1.2998992886759098e-05,1.0008677547736933,176.45524349999323
